Title;Summary;Article URL;Date;Document_Type;Product_Type;Countries;Regions;Drug_names;Language;Source URL;title_english;summary_english;File_Name
20 May: Clinical Research Day;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/news/detail/20-mai-tag-der-klinischen-forschung;20. May 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
None;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=1fa37ffeea2d0d097bf70abd3f1d784a;None;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
Foot and mouth disease FAQs;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/human/disease/pathogens-from-a-to-z/foot-and-mouth-disease/mks-faqs;16. April 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
AGES radar for infectious diseases;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/human/disease/ages-radar-for-infectious-diseases;17. April 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
AGES Podcast: Foot-and-mouth disease is on the doorstep again;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/ages/presse/podcast/detail/folge-005-totgeglaubte-leben-laenger-nach-jahrzehnten-steht-die-maul-und-klauenseuche-wieder-vor-der-tuer;17. April 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
Europe-wide #Safe2Eat campaign 2025;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/news/detail/europaweite-safe2eat-kampagne-2025;22. April 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
One Health: Health for humans, animals, plants and the environment;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/ages/one-health/one-health-health-for-humans-animals-plants-and-the-environment;15. May 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
AGES develops and tests mobile high-security laboratory;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/news/detail/ages-entwickelt-und-testet-mobiles-hochsicherheitslabor;06. May 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
#PlantHealth4Life: EU campaign for plant health;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/news/detail/planthealth4life-eu-kampagne-fuer-pflanzengesundheit;12. May 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
22 March is World Water Day;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/en/news/detail/22-maerz-ist-weltwassertag-1-1;21. March 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
AGES Podcast: Of blood meals & tick bites;"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.";https://www.ages.at/ages/presse/podcast/detail/folge-004-von-blutmahlzeiten-zeckenstichen-wie-schuetze-ich-mich-vor-kleinen-vampiren;02. April 2025;Other Type;Other;Global;Global;None;None;https://www.ages.at/en/ages/press/news?tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=1;None;None;AT.xlsx
